date,site,total_visitors,domestic_visitors,indian_visitors,international_visitors,temperature_c,rainfall_mm,festival,season
2016-02,Janakpur Dham,12914,8600,3659,655,18.3,11,0,winter
2020-01,Muktinath,262,94,113,55,-2.8,8,0,winter
2024-03,Pashupatinath,"162,644",113739,27206,21699,17.6,35,1,pre-monsoon
2017-08,Lumbini,68334,41020,19665,7649,30.0,350,0,monsoon
2017-07,Janakpur Dham,8816,5683,2338,795,29.1,330,0,monsoon
2023-01,Muktinath,2465,882,1104,479,-5.1,9,0,winter
2017-02,Pashupatinath,159069,110560,29911,18598,11.2,23,1,winter
2025-06,Janakpur Dham,15417,9909,4572,936,31.3,228,0,monsoon
2024-11,Janakpur Dham,38382,24614,10613,3155,21.0,5,1,post-monsoon
2022-04,Lumbini,88986,51343,22939,14704,27.6,24,0,pre-monsoon
2022-07,Muktinath,1481,516,640,325,16.4,65,0,monsoon
2017-08,Pashupatinath,42500,31778,7437,3285,23.2,390,0,monsoon
2016-10,Lumbini,140236,84104,37476,18656,24.7,42,0,rainy
01/01/2014,Muktinath,1717,648,788,281,-4.6,9,0,winter
2020-09,Pashupatinath,"11,151",8086,2116,949,22.3,213,0,post-monsoon
2019-03,Janakpur Dham,30913,20681,9091,1141,24.3,10,0,pre-monsoon
2025-12,Muktinath,4537,1524,2060,953,-3.6,5,0,winter
2010-05,PASHUPATINATH,30849,21826,5387,3636,22.4,123,0,pre-monsoon
2016-07,Muktinath,1779,573,773,433,15.2,52,0,monsoon
2021-03,Lumbini,29773,17835,7896,4042,23.6,17,0,pre-monsoon
2016-10,Janakpur Dham,16964,10786,5047,1131,26.4,,0,post-monsoon
2018-10,Muktinath,11856,4474,5193,2189,5.8,17,0,post-monsoon
2022-02,Lumbini,87451,50771,25349,11331,17.9,13,0,winter
2025-02,Muktinath,5477,2027,2427,1023,,13,0,winter
2015-05,Janakpur Dham,7763,5205,2169,389,31.0,78,0,pre-monsoon
2015-03,Janakpur Dham,10606,6619,2958,1029,23.2,13,0,pre-monsoon
2025-06,Lumbini,50922,29850,14108,6964,31.9,200,0,monsoon
06-2017,Lumbini,62304,36901,16079,9324,31.5,261,0,monsoon
2015-02,Pashupatinath,80061,55363,15892,8806,13.5,22,1,winter
01-2013,Lumbini,95177,56593,24406,14178,15.5,11,0,winter
2017-07,Lumbini,47159,27840,12626,6693,31.1,331,0,monsoon
2015-03,Pashupatinath,64351,45071,10698,8582,15.8,31,0,pre-monsoon
2022-06,Lumbini,36017,20370,10099,5548,29.9,223,0,monsoon
2013-03,Lumbini,120822,68335,33269,19218,22.6,17,0,pre-monsoon
2025-10,Janakpur Dham,26034,16766,7584,1684,25.3,54,0,post-monsoon
2010-10,Janakpur Dham,8980,5998,2533,449,25.7,38,0,post-monsoon
2017-03,Janakpur Dham,19389,12796,5291,1302,24.2,14,0,pre-monsoon
2013-08,Janakpur Dham,7697,4820,2236,641,29.7,340,0,monsoon
2013-07,Muktinath,1220,392,539,289,15.5,65,0,monsoon
2024-05,Muktinath,13194,4974,5978,2242,10.6,33,0,pre-monsoon
2015-08,Pashupatinath,21790,15261,3864,2665,,356,0,monsoon
2018-02,Janakpur Dham,18664,12472,5386,806,17.8,8,0,winter
2022-10,Lumbini,103283,59755,27373,16155,25.2,39,0,post-monsoon
2013-04,Muktinath,7215,2363,3297,1555,7.0,27,0,pre-monsoon
2023-03,Janakpur Dham,18912,12559,5319,1034,22.4,12,0,pre-monsoon
2012-11,Janakpur Dham,20742,13168,5444,2130,20.4,5,1,post-monsoon
2020-10,Muktinath,989,373,428,188,7.6,15,0,post-monsoon
2020-04,Janakpur Dham,4306,2886,1181,239,30.1,19,0,pre-monsoon
2019-11,Pashupatinath,135659,95872,22665,17122,13.6,7,0,post-monsoon
2011-11,Lumbini,888888,64240,29919,14912,20.0,4,1,post-monsoon
2018-09,Lumbini,85330,47933,21358,16039,28.9,,0,post-monsoon
2017-10,Muktinath,10296,3765,4770,1761,6.8,14,0,post-monsoon
2016-10,Pashupatinath,107412,77809,19900,9703,19.3,50,0,post-monsoon
2025-05,Muktinath,12987,4562,5612,2813,12.4,27,0,pre-monsoon
2013-12,Lumbini,102225,62055,26173,13997,15.3,4,0,winter
2023-12,Janakpur Dham,"39,679",24720,10400,4559,15.6,3,1,winter
2025-06,Muktinath,4857,1642,2133,1082,12.5,44,0,monsoon
2011-03,Muktinath,3833,1422,1734,677,3.1,17,0,pre-monsoon
2018-01,Muktinath,3065,1095,1377,593,-4.3,10,0,winter
2017-10,Lumbini,163887,96790,42385,24712,26.0,38,0,post-monsoon
2024-10,Lumbini,114543,65757,32301,16485,24.6,41,0,post-monsoon
2013-10,Lumbini,102234,62345,27301,12588,25.4,35,0,post-monsoon
2020-03,Lumbini,15744,9415,4083,2246,22.6,17,0,pre-monsoon
2025-03,Janakpur Dham,31402,21229,9315,858,23.4,13,0,pre-monsoon
2011-09,Muktinath,3607,1266,1580,761,13.1,40,0,post-monsoon
2014-08,Pashupatinath,35973,25550,6296,4127,22.6,351,0,monsoon
2020-01,Lumbini,14059,7799,3562,2698,15.7,9,0,winter
2015-11,Janakpur Dham,13028,8368,3423,1237,20.1,5,0,post-monsoon
2016-11,Lumbini Garden,193619,108437,48688,36494,20.7,5,1,post-monsoon
2025-12,Pashupatinath,106607,78244,17973,10390,9.8,5,0,winter
2012-01,Janakpur Dham,8300,5482,2392,426,14.3,11,0,winter
2021-06,Muktinath,746,251,324,171,14.5,44,0,monsoon
2018-08,Lumbini,70703,42131,19974,8598,30.2,414,0,monsoon
2018-04,Muktinath,13811,5173,6337,2301,7.6,29,0,pre-monsoon
2022-08,Pashupatinath,31648,23396,5203,3049,24.8,289,0,monsoon
2023-09,Lumbini,67148,39525,18211,9412,27.1,261,0,post-monsoon
2014-12,Janakpur Dham,28437,18539,7524,2374,15.3,3,0,winter
2018-05,Pashupatinath,71202,51749,12583,6870,23.8,126,0,pre-monsoon
2025-02,Pashupatinath,201434,149801,38674,12959,12.3,16,1,winter
2016-09,Janakpur Dham,12257,8203,3510,544,,182,0,post-monsoon
2016-05,Lumbini,92245,56111,23729,12405,31.6,80,1,pre-monsoon
2021-02,Lumbini,30248,18437,8592,3219,16.1,14,0,winter
2010-12,Pashupatinath,43480,30512,7035,5933,10.7,5,0,winter
2012-12,Pashupatinath,62993,43984,10938,8071,10.0,6,0,winter
2010-02,Muktinath,1462,494,683,285,-2.7,12,0,winter
2017-10,Janakpur Dham,19281,12670,5447,1164,26.4,-12,0,post-monsoon
2021-03,Muktinath,1729,574,768,387,2.6,16,0,pre-monsoon
2010-10,Pashupatinath,59885,43189,10891,5805,18.6,65,0,post-monsoon
2016-06,Pashupatinath,36135,26616,6274,3245,25.1,286,0,monsoon
2022-06,Janakpur Dham,9665,6173,2644,848,30.7,195,0,monsoon
2015-03,Lumbini,70050,38966,19295,11789,23.1,12,0,pre-monsoon
2011-12,Lumbini,79772,44929,20537,14306,16.3,3,0,winter
2015-03,Muktinath,2076,681,915,480,4.4,19,0,pre-monsoon
2010-12,Muktinath,1427,478,655,294,-1.6,5,0,winter
2014-09,Pashupatinath,40923,29380,7435,4108,21.9,259,0,post-monsoon
2021-11,Lumbini,39586,21918,11132,6536,19.9,4,1,post-monsoon
2016-04,Pashupatinath,76868,57085,14559,5224,21.1,50,0,pre-monsoon
2017-04,Lumbini,145212,79909,41831,23472,28.4,29,0,pre-monsoon
2018-06,Muktinath,4234,1594,1845,795,13.9,48,0,monsoon
2010-03,Pashupatinath,79858,59090,13455,7313,15.5,26,1,pre-monsoon
2021-11,Muktinath,1760,626,757,377,1.4,6,0,post-monsoon
2010-11,Muktinath,3632,1372,1643,617,2.8,4,0,  post-monsoon  
2015-11,Muktinath,2511,947,1162,402,0.0,5,0,post-monsoon
2025-09,Pashupatinath,67850,47007,11307,9536,23.2,208,0,post-monsoon
2011-02,Janakpur Dham,8891,5676,2437,778,17.9,9,0,winter
2019-08,Lumbini,71653,40131,20025,11497,30.6,310,0,monsoon
2021-09,Pashupatinath,21344,15254,3712,2378,23.8,283,0,post-monsoon
2012-03,Pashupatinath,92005,68688,15910,7407,16.6,32,1,pre-monsoon
2023-01,Pashupatinath,64847,44814,12637,7396,12.1,15,0,winter
2020-02,Muktinath,335,118,152,65,-3.3,13,0,winter
2015-01,Pashupatinath,39094,28185,6760,4149,11.7,14,0,winter
2011-09,Janakpur Dham,7896,5083,2136,677,28.1,199,0,post-monsoon
2024-11,Lumbini,175652,98590,46409,30653,,5,1,post-monsoon
2021-05,Lumbini,19846,11327,5735,2784,30.9,90,1,pre-monsoon
2015-12,Lumbini,74101,44057,19786,10258,15.0,3,0,winter
2025-02,Lumbini,131350,80094,34772,16484,16.8,-12,0,winter
2012-07,Muktinath,1249,437,585,227,14.8,66,0,monsoon
2011-10,Muktinath Temple,5550,1855,2486,1209,8.5,17,0,post-monsoon
2025-06,Pashupatinath,48872,35631,9441,3800,22.9,201,0,monsoon
2014-08,Janakpur Dham,6932,4390,1946,596,30.3,287,0,monsoon
2016-02,Muktinath,2855,1042,1235,578,-3.3,11,0,winter
2020-06,Pashupatinath,"7,956",5605,1358,993,23.4,202,0,monsoon
2018-08,Pashupatinath,52163,37459,9211,5493,23.1,280,0,monsoon
2022-09,Janakpur Dham,10320,6491,3082,747,28.8,200,0,post-monsoon
2011-04,Pashupatinath,47251,33619,7779,5853,21.3,,0,pre-monsoon
2018-11,Pashupatinath,123064,91958,22674,8432,14.0,9,0,post-monsoon
2017-03,Pashupatinath,131187,91159,21435,18593,18.0,28,0,pre-monsoon
2022-06,Muktinath,2219,718,974,527,13.2,40,0,monsoon
2020-12,Pashupatinath,14826,10372,2482,1972,10.6,4,0,winter
2018-12,Janakpur Dham,44297,27986,12823,3488,14.4,3,0,winter
2013-07,Lumbini,"37,081",20496,10562,6023,31.4,451,0,monsoon
2025-04,Lumbini,88415,51915,23360,13140,28.9,21,0,pre-monsoon
2023-12,Muktinath,3085,988,1370,727,-1.7,4,0,winter
2014-01,Lumbini,106908,62895,28427,15586,13.8,12,0,winter
2011-03,Pashupatinath,69578,51413,13099,5066,17.2,33,0,pre-monsoon
02-2012,Janakpur Dham,9535,6253,2809,473,18.8,8,0,winter
2019-04,Lumbini,144876,87951,39705,17220,29.0,29,0,pre-monsoon
2024-09,Muktinath,9403,3255,4261,1887,12.1,39,0,post-monsoon
2021-07,Lumbini,10731,6014,2898,1819,29.7,326,0,monsoon
2024-12,Muktinath,4712,1560,2088,1064,-1.9,4,0,winter
2013-12,Pashupatinath,56645,42281,11224,3140,12.4,5,0,winter
2016-12,Janakpur Dham,33693,22537,9808,1348,15.8,3,0,winter
2015-10,Pashupatinath,61895,45153,10306,6436,18.2,58,0,post-monsoon
2023-04,Pashupatinath Temple,71619,53649,13862,4108,19.1,64,0,pre-monsoon
2010-01,Muktinath,1118,359,481,278,-3.0,7,0,winter
2016-06,Janakpur Dham,11154,7020,3111,1023,32.6,182,0,monsoon
2010-10,Muktinath,4402,1517,1954,931,8.2,12,0,post-monsoon
2012-04,Muktinath,5940,2206,2769,965,6.8,30,0,pre-monsoon
2018-07,Lumbini,53034,30378,14104,8552,30.2,385,0,monsoon
2019-04,Janakpur Dham,34063,21549,9168,3346,28.9,18,1,pre-monsoon
2012-07,Pashupatinath,22749,17042,3860,1847,24.5,409,0,monsoon
2014-10,Lumbini,124483,74889,35003,14591,24.1,40,0,post-monsoon
2022-04,Janakpur Dham,19153,12891,5545,717,28.3,18,0,pre-monsoon
2020-11,Janakpur Dham,5870,3937,1713,220,19.5,5,1,post-monsoon
2023-11,Pashupatinath,101206,72349,16538,12319,16.3,8,0,post-monsoon
2022-05,Pashupatinath,44227,30886,8481,4860,22.9,111,0,pre-monsoon
2019-02,Muktinath,4158,1420,1921,817,-2.7,11,0,winter
2019-08,Pashupatinath,49349,34275,8150,6924,22.7,293,0,monsoon
2017-08,Janakpur Dham,10584,6921,2884,779,30.5,286,0,monsoon
2011-05,Lumbini,60887,36679,17618,6590,31.3,77,1,pre-monsoon
2024-02,Pashupatinath,132008,97228,23514,11266,12.6,20,0,winter
2024-06,Janakpur Dham,15517,10257,4364,896,30.6,198,0,monsoon
2014-10,Janakpur Dham,"14,168",9257,3919,992,25.8,46,0,post-monsoon
2012-02,Muktinath,2078,736,946,396,-1.1,12,0,winter
2014-05,Lumbini,89388,49867,22463,17058,31.8,84,1,pre-monsoon
2023-04,Lumbini,80752,44758,20227,15767,29.4,27,0,pre-monsoon
2018-03,Janakpur Dham,29834,19709,8202,1923,24.3,10,1,pre-monsoon
2019-11,Janakpur Dham,37887,23817,10796,3274,19.8,5,0,post-monsoon
2011-01,Lumbini,71009,40398,19284,11327,15.4,9,0,winter
2018-07,Pashupatinath,35358,25657,6195,3506,25.4,421,0,monsoon
2018-07,Muktinath,2320,862,1052,406,14.6,50,0,monsoon
2021-04,Lumbini,27077,16175,7099,3803,26.7,24,0,pre-monsoon
2010-05,Lumbini,56514,34304,15136,7074,29.6,,1,pre-monsoon
2015-06,Muktinath,879,299,406,174,14.2,40,0,monsoon
2016-05,Muktinath,7979,2610,3718,1651,9.7,30,0,pre-monsoon
2022-08,Muktinath,1864,657,873,334,13.2,47,1,monsoon
2013-04,Pashupatinath,65527,47737,10704,7086,19.2,64,0,pre-monsoon
2020-01,Pashupatinath,11234,8290,2079,865,9.5,17,0,  winter  
2025-11,Pashupatinath,142189,100645,25971,15573,14.7,9,0,post-monsoon
2024-08,Pashupatinath,48509,35961,9372,3176,23.5,363,0,monsoon
2018-12,Lumbini,166960,94946,45816,26198,16.1,3,0,winter
2019-01,Pashupatinath,89714,64702,17412,7600,11.0,15,0,winter
2014-06,Pashupatinath,35337,26100,6879,2358,25.0,251,0,monsoon
2011-05,Muktinath,3974,1380,1785,809,10.0,35,0,pre-monsoon
2013-12,Muktinath,2372,800,1106,466,-2.2,6,0,winter
2014-03,Pashupatinath,109543,81737,20576,7230,16.7,25,1,pre-monsoon
2022-05,Muktinath,6637,2435,3061,1141,10.9,29,0,pre-monsoon
2023-06,Pashupatinath,37912,27985,6072,3855,23.3,240,0,monsoon
2011-04,Janakpur Dham,16848,10781,4418,1649,28.6,24,1,pre-monsoon
2015-04,Lumbini,64689,35780,17572,11337,28.6,29,0,pre-monsoon
2014-02,Lumbini,116331,70222,30152,15957,16.1,10,0,winter
2020-03,Janakpur Dham,5145,3250,1438,457,23.7,12,1,pre-monsoon
2018-01,Lumbini,165395,94977,43512,26906,15.0,11,0,winter
2024-10,Muktinath,13112,4473,6107,2532,8.3,17,0,post-monsoon
2010-08,Lumbini,34891,19272,9707,5912,30.8,305,0,monsoon
2023-03,Lumbini,117335,69323,29529,18483,21.3,16,0,pre-monsoon
2024-01,Muktinath,3808,1269,1686,853,-3.0,9,0,winter
2015-02,Lumbini,64076,37423,17786,8867,17.9,11,0,winter
2021-12,Pashupatinath,32877,23082,5475,4320,10.2,6,0,winter
2012-10,Muktinath,5237,1905,2291,1041,8.1,17,0,post-monsoon
2019-01,Muktinath,3475,1255,1594,626,-3.4,7,0,winter
2014-04,Muktinath,7950,2685,3513,1752,8.2,20,0,pre-monsoon
2012-06,Pashupatinath,25439,17978,4994,2467,23.0,214,0,monsoon
2018-06,Lumbini,66930,40278,18122,8530,30.9,178,0,monsoon
2011-06,Janakpur Dham,7450,4664,2019,767,31.3,195,0,monsoon
2023-05,Janakpur Dham,16596,10632,4801,1163,32.0,82,0,pre-monsoon
2014-07,Lumbini,38976,21905,10510,6561,28.7,392,0,monsoon
2015-08,Janakpur,4036,2714,1112,210,30.1,380,0,monsoon
2024-05,Lumbini,102643,56719,26337,19587,29.4,87,1,pre-monsoon
2022-10,Pashupatinath,90042,65592,16906,7544,19.6,50,0,post-monsoon
2020-08,MUKTINATH,254,82,112,60,13.8,57,1,monsoon
2017-12,Muktinath,3778,1335,1677,766,-2.8,4,0,  winter  
2010-09,Pashupatinath,33732,23344,6624,3764,21.8,266,0,post-monsoon
2022-01,Muktinath,1873,709,814,350,-5.4,9,0,winter
2017-11,Pashupatinath,129807,93640,24037,12130,15.4,8,0,post-monsoon
2022-10,Muktinath,7121,2341,3293,1487,7.4,14,0,post-monsoon
2012-06,Muktinath,1779,616,808,355,12.8,46,0,monsoon
2017-09,Pashupatinath,54463,40727,8740,4996,23.9,204,0,post-monsoon
2014-06,Muktinath,2243,728,985,530,14.9,33,0,monsoon
2014-05,Muktinath,6920,2568,3160,1192,11.3,35,0,pre-monsoon
2018-12,Muktinath,3835,1344,1745,746,-1.7,4,0,winter
2022-10,Janakpur Dham,12184,7898,3490,796,26.8,50,0,post-monsoon
2021-08,Lumbini,12211,6765,3065,2381,28.4,415,0,monsoon
2015-08,Lumbini,31891,17959,9217,4715,29.0,305,0,monsoon
2020-04,Lumbini,14002,8148,3682,2172,27.5,27,0,pre-monsoon
2019-09,Lumbini,88737,48931,24462,15344,28.8,224,0,post-monsoon
2012-11,Muktinath,4705,1706,2082,917,1.4,6,0,post-monsoon
2021-04,Janakpur Dham,11364,7363,3300,701,28.0,20,1,pre-monsoon
01/09/2012,Janakpur Dham,"9,068",5969,2445,654,29.6,167,0,post-monsoon
2016-10,Muktinath,9414,3496,4393,1525,6.8,14,0,post-monsoon
2023-09,Janakpur Dham,11867,7781,3436,650,27.6,213,0,post-monsoon
2022-08,Lumbini,45206,26186,11499,7521,29.6,344,0,monsoon
2018-02,Lumbini,175817,105115,47017,23685,18.0,10,0,winter
2014-12,Lumbini,124697,72770,31222,20705,15.0,3,0,winter
2021-11,Pashupatinath,38510,28284,7046,3180,15.8,7,0,post-monsoon
2010-11,Pashupatinath,72003,53740,14097,4166,15.1,9,0,post-monsoon
2015-04,Pashupatinath,46118,33648,7895,4575,21.6,60,0,pre-monsoon
2010-02,Janakpur Dham,9547,6393,2748,406,18.1,10,0,winter
2011-07,Lumbini,27356,15532,7094,4730,28.6,307,0,monsoon
2021-06,Pashupatinath,15650,10943,2805,1902,23.9,205,0,monsoon
2016-11,Pashupatinath,100093,73103,19027,7963,15.7,9,0,post-monsoon
2016-04,Lumbini,125461,74522,32025,18914,28.6,29,0,pre-monsoon
2017-02,Lumbini,173182,95658,44141,33383,16.9,14,0,winter
2015-12,Janakpur Dham,20767,13758,5406,1603,14.2,,1,winter
2015-07,Muktinath,553,207,246,100,13.8,58,0,monsoon
2015-12,Pashupatinath,45367,32550,8248,4569,12.5,5,0,winter
2018-04,Janakpur Dham,,,,,29.4,18,0,pre-monsoon
2017-04,Pashupatinath,80746,59652,15978,5116,21.7,61,0,pre-monsoon
2011-11,Janakpur Dham,15784,9857,4704,1223,19.9,4,0,post-monsoon
2012-12,Muktinath,1922,656,864,402,-2.0,5,0,winter
2021-09,Muktinath,1375,508,592,275,11.6,33,0,post-monsoon
2022-08,Janakpur Dham,6986,4720,1833,433,28.8,277,0,monsoon
2023-12,Lumbini,100855,57722,26956,16177,15.3,3,0,winter
2022-09,Pashupatinath,44917,33141,7456,4320,21.7,272,0,post-monsoon
2014-06,Janakpur Dham,9671,6421,2713,537,31.0,167,0,monsoon
2010-10,Lumbini,83383,50718,23995,8670,25.4,46,0,post-monsoon
2020-05,Janakpur Dham,2764,1788,802,174,30.4,61,0,pre-monsoon
2011-03,Lumbini,102015,56238,29073,16704,22.6,18,0,pre-monsoon
2015-09,Janakpur Dham,5650,3722,1485,443,28.6,224,0,post-monsoon
2012-11,Lumbini,138965,82101,38179,18685,20.8,4,1,post-monsoon
2020-10,Janakpur Dham,3298,2073,906,319,26.9,43,0,post-monsoon
2021-10,Janakpur Dham,6836,4284,1943,609,25.3,39,0,post-monsoon
2013-03,Muktinath,5394,1840,2500,1054,2.9,24,0,pre-monsoon
2012-06,Lumbini,36522,20982,9674,5866,30.3,240,0,monsoon
2024-02,Muktinath,4163,1439,1794,930,-2.1,13,0,winter
2023-04,Janakpur Dham,26142,16888,6968,2286,27.8,20,1,pre-monsoon
December 2017,Janakpur Dham,44526,28217,12639,3670,16.3,4,1,winter
2015-07,Lumbini,24725,13719,6240,4766,29.2,328,0,monsoon
2024-04,Pashupatinath,89304,63070,16589,9645,,45,0,pre-monsoon
2013-05,Janakpur Dham,10496,6951,2908,637,31.3,74,0,pre-monsoon
2021-01,Janakpur Dham,4440,2984,1295,161,14.4,13,0,winter
2025-08,Pashupatinath,50156,35135,9859,5162,23.6,324,0,monsoon
2010-01,Lumbini,70952,39242,19146,12564,14.8,9,0,winter
2011-09,Pashupatinath,35200,25362,6909,2929,21.7,241,0,post-monsoon
2011-12,Muktinath,1698,554,774,370,-2.0,5,0,winter
2013-04,Janakpur Dham,20113,13274,5862,977,28.9,21,1,pre-monsoon
2014-06,Lumbini,53075,30724,13517,8834,29.9,236,0,monsoon
2023-11,Lumbini,152614,89948,38935,23731,19.5,6,1,post-monsoon
2014-04,Pashupatinath,67605,50663,11195,5747,20.3,63,0,pre-monsoon
2023-02,Muktinath,3520,1177,1584,759,-1.5,10,0,  winter  
2020-07,Muktinath,214,69,99,46,13.5,49,0,monsoon
2023-07,Janakpur Dham,9066,5626,2656,784,31.4,295,0,monsoon
2011-04,Muktinath,5906,2146,2555,1205,8.1,25,0,pre-monsoon
2023-05,Muktinath,9836,3726,4541,1569,12.1,27,0,pre-monsoon
2014-04,Lumbini,91619,55165,25750,10704,28.8,28,0,pre-monsoon
2011-03,Janakpur Dham,13602,8763,3573,1266,23.9,11,0,pre-monsoon
2018-03,Muktinath,9085,2928,4079,2078,3.1,18,0,pre-monsoon
2018-04,Pashupatinath,100769,70513,19794,10462,21.2,65,0,pre-monsoon
2020-07,Lumbini,5451,3029,1460,962,30.8,357,0,monsoon
2024-07,Lumbini,42673,24981,11535,6157,29.4,390,0,monsoon
2011-10,Pashupatinath,72617,51102,11842,9673,18.9,48,0,post-monsoon
2021-01,Lumbini,27061,15609,7415,4037,14.5,12,0,winter
2025-08,Muktinath,3542,1202,1624,716,15.5,44,1,monsoon
2024-01,Lumbini,128528,72546,32756,23226,13.6,12,0,winter
2012-12,Janakpur Dham,23284,15376,6129,1779,16.4,3,0,winter
2022-03,Lumbini,100937,59293,27362,14282,22.3,13,0,pre-monsoon
2025-10,Lumbini,123300,73257,35748,14295,26.8,42,0,post-monsoon
2025-08,Janakpur Dham,11618,7392,3023,1203,31.4,380,0,monsoon
2013-09,Muktinath,4547,1607,1975,965,11.8,34,0,post-monsoon
2021-06,Lumbini,11500,6919,3299,1282,31.0,229,0,monsoon
2025-11,Janakpur Dham,34728,22788,9945,1995,21.1,4,0,post-monsoon
2017-12,Lumbini,153254,92296,43109,17849,15.7,3,0,winter
2011-01,Muktinath,1409,467,637,305,-4.1,10,0,winter
2023-10,Pashupatinath,105889,73146,19752,12991,18.5,65,0,post-monsoon
2024-01,Janakpur Dham,15320,10062,4138,1120,14.2,11,0,winter
2023-05,Lumbini,,,,,31.0,70,1,pre-monsoon
2019-03,Lumbini,202783,117413,57233,28137,22.7,12,0,pre-monsoon
2023-03,Muktinath,7934,2923,3557,1454,3.1,19,0,pre-monsoon
2013-05,Lumbini,80895,44989,23256,12650,31.1,66,1,pre-monsoon
2013-07,Janakpur Dham,6180,3943,1731,506,29.2,349,0,monsoon
2011-07,Pashupatinath,22370,16188,4269,1913,24.0,373,0,monsoon
2023-11,Muktinath,8723,2876,3948,1899,2.3,5,0,post-monsoon
2015-09,Muktinath,2171,711,957,503,11.7,34,0,post-monsoon
2015-10,Muktinath,2850,1067,1306,477,7.3,14,0,post-monsoon
2023-07,Lumbini,31858,17678,9197,4983,29.4,421,0,monsoon
2013-11,Janakpur Dham,19886,12698,5369,1819,20.5,,0,post-monsoon
2019-02,Janakpur Dham,20010,13423,5252,1335,17.0,8,0,winter
2014-01,Pashupatinath,46511,34683,8238,3590,12.2,18,0,winter
2017-10,Pashupatinath,118503,85519,23667,9317,18.2,56,0,post-monsoon
July 2012,Janakpur Dham,6205,3881,1799,525,31.7,341,0,monsoon
2025-05,Janakpur Dham,22528,14165,6607,1756,31.6,80,0,pre-monsoon
2014-05,Pashupatinath,48713,35649,9162,3902,22.1,101,0,pre-monsoon
2013-05,Muktinath,5092,1682,2363,1047,10.2,34,0,pre-monsoon
2015-06,Pashupatinath,23286,16087,3833,3366,22.4,204,0,monsoon
2018-10,Janakpur Dham,19564,12190,5111,2263,25.8,38,0,post-monsoon
2015-02,Janakpur Dham,7891,4989,2211,691,17.3,8,0,winter
2017-07,Pashupatinath,29783,20762,4905,4116,24.4,406,0,monsoon
2017-01,Janakpur Dham,12503,8276,3434,793,13.8,10,0,winter
2019-06,Muktinath,4731,1688,2051,992,14.0,33,0,monsoon
2020-08,Lumbini,7024,4198,2016,810,28.7,336,0,monsoon
2016-01,Muktinath,2114,725,947,442,-4.4,7,0,winter
2010-03,Muktinath,3807,1410,1665,732,3.9,20,0,pre-monsoon
2013-08,Muktinath,1750,642,799,309,13.8,58,1,monsoon
2019-12,Muktinath,4344,1448,1979,917,-1.6,5,0,winter
2022-12,Pashupatinath,65189,48685,10830,5674,11.5,5,0,winter
2022-03,Muktinath,5958,2091,2644,1223,2.6,16,0,pre-monsoon
2015-08,Muktinath,625,219,290,116,14.5,54,1,monsoon
2017-12,Pashupati Nath,85884,62270,16837,6777,9.8,5,0,winter
2010-01,Janakpur Dham,8037,5032,2254,751,14.0,11,0,winter
2024-06,Pashupatinath,43080,31461,6926,4693,22.6,280,0,monsoon
2014-10,Pashupatinath,75889,52533,14639,8717,,47,0,post-monsoon
2016-08,Muktinath,2239,830,1024,385,14.3,53,1,monsoon
2019-04,Muktinath,13291,4264,6107,2920,8.5,27,0,pre-monsoon
June 2017,Janakpur Dham,12600,8421,3708,471,33.5,179,0,monsoon
2018-11,Muktinath,9184,3405,4277,1502,0.2,6,0,post-monsoon
2016-12,Muktinath,2824,931,1262,631,-4.1,6,0,winter
2016-07,Janakpur Dham,8365,5343,2255,767,29.6,339,0,monsoon
2016-08,Lumbini,63098,35935,17726,9437,28.4,416,0,monsoon
2020-06,Janakpur Dham,2396,1510,677,209,32.2,199,0,monsoon
2019-02,Lumbini,169485,100427,43095,25963,17.2,11,0,winter
2018-01,Janakpur Dham,15167,9883,4071,1213,15.5,14,0,winter
2011-01,Janakpur Dham,8997,5584,2581,832,12.7,12,0,winter
2019-09,Janakpur Dham,16990,11415,4522,1053,27.7,199,0,post-monsoon
2014-02,Muktinath,2299,856,998,445,-1.4,12,0,winter
2015-09,Lumbini,43840,25844,11833,6163,28.7,239,0,post-monsoon
2023-10,Lumbini,115735,65687,33470,16578,25.8,41,0,post-monsoon
2018-08,Janakpur Dham,12506,8155,3495,856,29.7,276,0,post monsoon
2020-03,Pashupatinath,25631,18255,4597,2779,16.9,28,1,WINTER
2022-11,Muktinath,5825,1954,2585,1286,2.8,5,0,post-monsoon
2024-05,Janakpur Dham,18219,11797,4957,1465,32.8,59,0,pre-monsoon
2014-03,Lumbini,133518,76387,37995,19136,22.4,18,0,pre-monsoon
2017-05,Lumbini,108678,62960,30068,15650,29.4,65,1,pre-monsoon
2023-08,Janakpur Dham,9633,6240,2550,843,31.4,283,0,monsoon
2016-03,Janakpur Dham,25551,16056,7329,2166,23.4,13,1,pre-monsoon
2022-09,Muktinath,4353,1444,1896,1013,12.4,39,0,post-monsoon
2015-04,Janakpur Dham,13281,8242,3837,1202,29.1,23,1,pre-monsoon
2019-08,Muktinath,3504,1136,1640,728,14.6,46,1,monsoon
2014-01,Janakpur Dham,11885,7601,3258,1026,14.0,-8,0,winter
2011-11,Pashupatinath,81283,60026,15064,6193,15.9,9,0,post-monsoon
01/03/2025,Pashupatinath,136701,98766,25336,12599,15.8,26,0,pre-monsoon
2020-09,Muktinath,649,238,302,109,11.8,41,0,post-monsoon
2011-10,Janakpur Dham,9954,6343,2849,762,27.4,47,0,post-monsoon
